time_new,AnkleAngle(deg),moment
1.12943112,10.60760114,-56.33649652
1.13,10.61130546,-56.45492788
1.13017209,10.6150046,-56.49309929
1.13034418,10.63342483,-56.53126816
1.13120465,10.68381816,-56.72207423
1.13267135,10.74537251,-57.04716777
1.13413806,10.75335092,-57.37420753
1.135,10.758236,-57.56646603
1.13516437,10.76310791,-57.60538164
1.13532873,10.78728151,-57.64429526
1.13615056,10.82727601,-57.83883192
1.13780971,10.86623967,-58.23141681
1.13946887,10.88793439,-58.62378988
1.14,10.89246505,-58.7493514
1.14016021,10.89698134,-58.78637759
1.14032042,10.91936037,-58.82340184
1.14112147,10.95547302,-59.00849412
1.14278087,10.99053313,-59.39176398
1.14444027,11.01067671,-59.77482658
1.145,11.01449208,-59.90399085
1.14509821,11.01829389,-59.92660229
1.14519642,11.03710708,-59.94921302
1.14568749,11.07374866,-60.06291865
1.14732092,11.10886052,-60.44246739
1.14895435,11.12054985,-60.82186307
1.15,11.12358294,-61.06465363
1.15012583,11.12660496,-61.09400488
1.15025165,11.14155896,-61.12335529
1.15088078,11.17379997,-61.27009344
1.15251894,11.20463963,-61.65206913
1.15464797,11.21725012,-62.14827266
1.155,11.21902073,-62.23029397
1.15510643,11.22078653,-62.25345743
1.15521285,11.22954731,-62.27662036
1.15574498,11.25831934,-62.39242562
1.15740832,11.28391023,-62.75431149
1.15981056,11.3014965,-63.28099055
1.16,11.30281377,-63.32261615
1.16008065,11.30412737,-63.33896217
1.16016129,11.31064259,-63.35530801
1.16056453,11.33535613,-63.43703362
1.16223651,11.35552331,-63.77584429
1.16365347,11.37337203,-64.0629022
1.165,11.37392917,-64.33562654
1.16505359,11.37448544,-64.34526699
1.16510718,11.37725422,-64.35490735
1.16537514,11.39083189,-64.40310777
1.16671493,11.40771051,-64.64407672
1.16806278,11.42385146,-64.88644021
1.16941064,11.43405177,-65.12874762
1.17,11.43528942,-65.23468129
1.17008887,11.43652145,-65.24883808
1.17017773,11.442603,-65.26299471
1.17062206,11.46008723,-65.33396198
1.17229377,11.48131161,-65.60364459
1.17378151,11.4844182,-65.84360784
1.175,11.48560758,-66.04011372
1.17513663,11.4867902,-66.06052411
1.17527325,11.49260974,-66.08093424
1.17595639,11.50673265,-66.18298031
1.17763422,11.52252528,-66.43358123
1.17931205,11.52522818,-66.6841374
1.18,11.52687515,-66.78685928
1.18019189,11.52850849,-66.8134182
1.18038377,11.53651428,-66.83997661
1.18134321,11.54603864,-66.97276039
1.18276891,11.5551137,-67.17004933
1.18419461,11.55902428,-67.36857732
1.185,11.56260159,-67.48093517
1.18514021,11.56613523,-67.4983984
1.18528042,11.57598381,-67.51586146
1.18598147,11.58550071,-67.60317413
1.18761438,11.58854885,-67.80652759
1.18924728,11.58876216,-68.00985752
1.19,11.58897526,-68.10357814
1.19005418,11.59003763,-68.11025589
1.19010835,11.59528082,-68.11693364
1.19037923,11.60349154,-68.15032193
1.19173362,11.61131762,-68.3172538
1.19308802,11.61468892,-68.4841696
1.19444241,11.61499406,-68.65106938
1.195,11.61529913,-68.71977524
1.19505703,11.61682405,-68.72784885
1.19511407,11.62448111,-68.7359224
1.19539924,11.63106433,-68.77628973
1.19680234,11.63756794,-68.97507603
1.19820545,11.63919178,-69.17388743
1.19960856,11.63961216,-69.37268041
1.2,11.64003345,-69.42813722
1.2001391,11.64215451,-69.45089171
1.2002782,11.65000047,-69.47364599
1.20097369,11.65690329,-69.58741427
1.20253173,11.6638665,-69.84225989
1.2044667,11.66510693,-70.15872259
1.205,11.66557083,-70.24593681
1.2050849,11.66603632,-70.26145257
1.20516979,11.66838988,-70.27696827
1.20559427,11.67728753,-70.35454538
1.20709296,11.6851183,-70.62842771
1.20836693,11.69316888,-70.86107904
1.20964091,11.69498461,-71.09238123
1.21,11.69550696,-71.15757204
1.21007282,11.69603112,-71.17078823
1.21014564,11.69868116,-71.18400432
